BIO1	BIO2	BIO3	BIO4	BIO5	BIO6	BIO7	BIO8	BIO9	BIO10	BIO11	BIO12	BIO13	BIO14	BIO15	BIO16	BIO17	BIO18	BIO19
ICARDA_G0261	165	131	35	8499	368	3	365	57	271	274	57	437	83	1	81	234	5	6	234
ICARDA_G0192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0471	195	148	43	7197	359	15	344	108	279	279	97	61	14	0	74	31	0	0	22
ICARDA_G0681	254	148	67	1860	367	147	220	255	228	278	228	376	122	3	121	267	11	72	11
ICARDA_G0751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0698	208	139	44	6482	356	42	314	131	284	284	120	76	18	0	79	38	1	1	25
ICARDA_G0847	183	145	39	8255	381	13	368	89	287	287	76	154	28	0	83	75	0	0	71
ICARDA_G0942	177	133	39	7669	363	27	336	78	274	274	78	438	94	0	88	254	4	4	254
ICARDA_G0119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0370	92	115	33	8052	281	-67	348	82	191	191	-14	538	75	9	46	202	38	38	152
ICARDA_G0669	228	155	45	7101	392	51	341	144	311	311	132	114	27	0	87	52	0	0	31
ICARDA_G1094	183	145	39	8255	381	13	368	89	287	287	76	154	28	0	83	75	0	0	71
ICARDA_G1147	276	154	68	1861	391	166	225	272	252	301	252	377	122	3	126	280	9	65	9
ICARDA_G0364	84	86	22	10583	285	-95	380	199	8	217	-52	459	50	29	18	135	94	130	118
ICARDA_G0643	211	140	44	6555	360	43	317	133	287	287	121	77	18	0	82	38	0	0	25
ICARDA_G0152	255	109	48	4252	359	134	225	241	201	303	197	7	4	0	111	6	0	0	1
ICARDA_G0483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1216	210	134	38	7988	379	30	349	119	303	303	102	65	12	0	76	28	0	0	25
ICARDA_G0625	214	132	37	8151	382	31	351	163	308	309	104	63	12	0	74	26	0	1	23
ICARDA_G0581	215	139	39	7807	380	31	349	170	303	305	108	53	9	0	73	23	0	1	18
ICARDA_G0663	214	132	37	8151	382	31	351	163	308	309	104	63	12	0	74	26	0	1	23
ICARDA_G0933	223	129	36	8342	390	37	353	170	319	319	109	62	13	0	76	26	0	0	22
ICARDA_G1366	223	129	36	8342	390	37	353	170	319	319	109	62	13	0	76	26	0	0	22
ICARDA_G0697	223	129	36	8342	390	37	353	170	319	319	109	62	13	0	76	26	0	0	22
ICARDA_G0622	223	129	36	8342	390	37	353	170	319	319	109	62	13	0	76	26	0	0	22
ICARDA_G0203	204	131	36	8372	378	21	357	108	301	302	91	85	15	0	74	37	0	1	34
ICARDA_G0109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G1069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0428	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0078	189	126	68	2055	266	83	183	204	163	213	161	326	77	2	81	139	23	82	25
ICARDA_G0356	178	127	69	2089	256	73	183	194	157	203	150	358	82	2	79	148	25	94	27
ICARDA_G0569	248	152	46	6587	404	79	325	253	328	328	160	95	34	0	136	70	4	4	16
ICARDA_G0797	248	147	51	5382	383	95	288	251	310	315	176	128	40	1	111	87	10	11	19
ICARDA_G0001	11	73	20	9290	190	-159	349	78	-101	133	-108	519	77	20	39	196	69	185	78
ICARDA_G0503	8	72	21	8679	179	-151	330	115	-96	123	-101	407	60	15	45	165	49	157	59
ICARDA_G1234	-13	64	21	7824	148	-151	299	91	-80	91	-109	501	62	24	30	177	77	177	93
ICARDA_G0778	15	75	21	9429	198	-158	356	81	-99	137	-107	564	81	23	36	211	80	194	91
ICARDA_G0401	8	73	20	9279	187	-161	348	118	-103	130	-110	497	76	18	41	191	62	187	71
ICARDA_G1431	7	72	21	9070	182	-158	340	116	-102	127	-108	463	69	16	42	178	56	175	66
ICARDA_G0901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICARDA_G0501	0	60	19	8069	163	-139	302	107	-65	107	-101	484	62	20	35	177	66	177	91
ICARDA_G0434	11	73	20	9308	190	-159	349	120	-101	133	-109	506	78	19	40	194	65	187	74
ICARDA_G0202	-6	64	21	7664	153	-141	294	96	-72	96	-99	473	57	23	28	161	74	161	90
ICARDA_G0665	243	133	69	1642	326	134	192	249	219	258	219	142	51	1	124	78	3	20	3
ICARDA_G0489	248	128	67	1932	332	141	191	262	221	268	221	119	43	0	124	67	1	22	1
ICARDA_G0184	239	131	68	1788	322	131	191	252	213	256	213	152	51	1	114	84	3	28	3
ICARDA_G0890	230	133	70	1783	315	125	190	244	204	245	204	222	63	0	103	125	3	46	3
ICARDA_G0345	230	133	70	1783	315	125	190	244	204	245	204	222	63	0	103	125	3	46	3
ICARDA_G1391	262	135	75	980	346	166	180	271	248	271	248	214	59	0	132	118	3	118	22
ICARDA_G0513	261	135	74	1061	345	163	182	270	246	271	246	191	56	0	132	105	3	105	3
ICARDA_G0287	261	135	74	1061	345	163	182	270	246	271	246	191	56	0	132	105	3	105	3
ICARDA_G0219	253	135	72	1164	338	152	186	263	236	263	236	190	57	1	126	104	4	104	4
ICARDA_G1418	251	135	71	1347	334	146	188	262	231	262	231	168	55	0	120	94	2	94	2
ICARDA_G1275	265	134	75	957	349	171	178	274	251	274	251	208	58	0	129	114	3	114	22
ICARDA_G1150	257	135	73	1115	341	157	184	265	241	267	241	190	57	0	130	105	3	105	3
ICARDA_G1446	251	136	72	1237	335	148	187	259	233	261	233	195	58	1	119	107	4	107	4
ICARDA_G1439	249	136	72	1249	333	145	188	257	231	260	231	190	58	1	124	104	4	104	4
ICARDA_G1065	243	128	67	1977	326	135	191	257	215	264	215	132	44	0	105	72	3	28	3
ICARDA_G0412	243	129	67	1984	326	134	192	257	215	264	215	124	43	0	111	68	3	25	3
ICARDA_G0497	247	130	67	1847	330	138	192	260	220	265	220	126	45	0	120	71	1	21	1
ICARDA_G0460	247	130	67	1847	330	138	192	260	220	265	220	126	45	0	120	71	1	21	1
ICARDA_G0430	248	131	68	1771	331	139	192	261	222	265	222	129	47	0	125	72	2	20	2
